Purpose,대분류,중분류,소분류,Section,테스트 항목,사전조건,테스트 스텝,기대결과
WEB,Sign In Page,Header Area,,#NAME?,KOCOWA logo image 확인,1. Sign In Page 진입,KOCOWA logo image 출력 확인,KOCOWA logo image 출력된다
WEB,Sign In Page,Header Area,,#NAME?,KOCOWA logo image 기능 확인,1. Sign In Page 진입,KOCOWA logo image 선택,Home Main Page 진입된다
WEB,Sign In Page,Header Area,,#NAME?,Home Button 확인,1. Sign In Page 진입,Home Button 확인,Home Button 출력된다
WEB,Sign In Page,Header Area,,#NAME?,Home Button 기능 확인,1. Sign In Page 진입,Home Button 선택,Home Main Page 진입된다
WEB,Sign In Page,Header Area,,#NAME?,Language icon 확인,1. Sign In Page 진입,Language icon 출력 확인,지구본 형태의 Language icon 출력된다
WEB,Sign In Page,Header Area,,#NAME?,Language icon Hover 시 동작 확인,1. Sign In Page 진입,Language icon Hover,Language Dropdown Menu 출력된다
WEB,Sign In Page,Header Area,,#NAME?,Header Area 상단 Fix 확인,1. Sign In Page 진입,Scroll Down,Header Area 상단 고정되어 출력된다
WEB,KOCOWA ID Sign In,Email Input Area,,#NAME?,input box 확인,1. Sign In Page 진입,input box 출력 확인,input box 출력된다
WEB,KOCOWA ID Sign In,Email Input Area,,#NAME?,text 선택 시 동작 확인,1. Sign In Page 진입,text 선택,선택한 text 입력된다
WEB,KOCOWA ID Sign In,Email Input Area,,#NAME?,text 입력 시 동작 확인,1. Sign In Page 진입,text 입력,Placeholder 사라진다
WEB,KOCOWA ID Sign In,Email Input Area,,#NAME?,Backspace Button 선택 시 동작 확인,"1. Sign In Page 진입
2. text 입력",Backspace Button 선택,입력된 text 1글자씩 삭제된다
WEB,KOCOWA ID Sign In,Email Input Area,,#NAME?,text 삭제 시 동작 확인,"1. Sign In Page 진입
2. text 입력",입력된 text 삭제,Placeholder 출력된다
WEB,KOCOWA ID Sign In,Email Input Area,Validation,#NAME?,실시간 유효성 검사 동작 확인,1. Sign In Page 진입,text 입력,입력된 text 기반으로 실시간 유효 여부 확인된다
WEB,KOCOWA ID Sign In,Email Input Area,Validation,#NAME?,text 미입력 시 UI 확인,"1. Sign In Page 진입
2. text 입력",입력된 text 삭제,input box 빨간색으로 강조되어 출력된다
WEB,KOCOWA ID Sign In,Email Input Area,Validation,#NAME?,text 미입력 시 동작 확인,"1. Sign In Page 진입
2. text 입력",입력된 text 삭제,Absence Error message text 출력된다
WEB,KOCOWA ID Sign In,Email Input Area,Validation,#NAME?,Absence Error message text UI 확인,"1. Sign In Page 진입
2. text 입력
3. 입력된 text 삭제",Absence Error message text 출력 확인,Absence Error message text 빨간색으로 강조되어 출력된다
WEB,KOCOWA ID Sign In,Email Input Area,Validation,#NAME?,At 미입력 시 동작 확인,"1. Sign In Page 진입
2. 계정 정보 입력","At ""@"" 특수 문자 삭제",Invalid Error message text 출력된다
WEB,KOCOWA ID Sign In,Email Input Area,Validation,#NAME?,Domain 미입력 시 동작 확인,"1. Sign In Page 진입
2. 계정 정보 입력","Domain ""."" 특수 문자 삭제",Invalid Error message text 출력된다
WEB,KOCOWA ID Sign In,Email Input Area,Validation,#NAME?,Invalid Error message text UI 확인,"1. Sign In Page 진입
2. 계정 정보 입력",Invalid Error message text 출력 확인,Invalid Error message text 빨간색으로 강조되어 출력된다
WEB,KOCOWA ID Sign In,Email Input Area,Validation,#NAME?,유효한 Email 입력 시 동작 확인,"1. Sign In Page 진입
2. 계정 정보 입력",유효한 계정 정보 입력,Error message text 사라진다
WEB,KOCOWA ID Sign In,Email Input Area,Validation,#NAME?,유효한 Email 입력 시 UI 확인,"1. Sign In Page 진입
2. 계정 정보 입력",유효한 계정 정보 입력,input box 흰색으로 강조되어 출력된다
WEB,KOCOWA ID Sign In,Password Input Area,,#NAME?,input box 확인,1. Sign In Page 진입,input box 출력 확인,input box 출력된다
WEB,KOCOWA ID Sign In,Password Input Area,,#NAME?,text 선택 시 동작 확인,1. Sign In Page 진입,text 선택,선택한 text 입력된다
WEB,KOCOWA ID Sign In,Password Input Area,,#NAME?,text 입력 시 동작 확인,1. Sign In Page 진입,text 입력,Placeholder 사라진다
