project_name,main_category,scope_of_dev,test_case,Fire TV,Roku,Android TV,Apple TV,Web,Apple Mobile,Android Mobile,Smart TV,Vizio TV
Basic Verification,Category List Area,Header Area,"Switch Button 출력 확인
Standard 출력 확인
Standard 기능 확인
Promotion 출력 확인
Promotion 기능 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Checkout Page,Billing Information Area,"Credit Card image 확인
Credit Card image 기능 확인
Default Setting 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Checkout Page,Bottom Area,"View Terms text Button 확인
View Terms text Button 기능 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Checkout Page,General Rules,"KOCOWA logo image 확인
Back icon 확인
Back icon 기능 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Checkout Page,Payment Summary Area,title text 확인,False,False,False,False,True,False,False,False,False
Basic Verification,Chromecast,Casting Action,Player Screen 진입 시 동작 확인,False,False,False,False,True,False,False,False,False
Basic Verification,Chromecast,Casting Player Screen,"KOCOWA logo image 확인
Player UI 확인
재생 구간 이동 시 동작 확인
content 재생 확인
Subtitle 확인
대기 시 동작 확인
thumbnail image 확인
Series content Name 확인
Episdoe content Name 확인
Episdoe content Name stringeset 확인
Loading 시 UI 확인
Loading 완료 시 동작 확인
Progress Bar 확인
Current Time 확인
Current Time 동작 확인
Total Time 확인
Total Time 동작 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Email Verification Page,Guidance Area,"1st Guidance text 확인
1st Guidance text stringset 확인
2nd Guidance text 확인
2nd Guidance text stringset 확인
Cool Down 시 Resend verification mail Button UI 확인
Resend verification mail Button 확인
Resend verification mail stringset 확인
Resend verification mail Button UI 확인
Resend verification mail Button 기능 확인
3rd Guidance text 확인
3rd Guidance text stringset 확인
3rd Guidance text UI 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Email Verification Page,Header Area,"KOCOWA logo image 확인
KOCOWA logo image 기능 확인
Edit Profile button 확인
Edit Profile button stringset 확인
Edit Profile button 출력 여부 확인
해상도 320 이하일 시 Edit Profile button 출력 여부 확인
Sign Out button 확인
Sign Out button stringset 확인
Sign Out button 기능 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Email Verification Page,Inform Area,"Framework 확인
해상도 768 이하일 시 Framework UI 확인
sub text 확인
sub text stringset 확인
User Email 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Email Verification Page,Top Area,"Rectangle 확인
해상도 768 이하일 시 Grey Rectangle 출력 여부 확인
Message icon 확인
title text 확인
title text stringset 확인",False,False,False,False,True,False,False,False,False
Basic Verification,Email Verification Page,Verify Email,Email Verify 완료 시 동작 확인,False,False,False,False,True,False,False,False,False
Basic Verification,KOCOWA ID Sign In,Email Input Area,"input box 확인
text 선택 시 동작 확인
text 입력 시 동작 확인
Backspace Button 선택 시 동작 확인
text 삭제 시 동작 확인
실시간 유효성 검사 동작 확인
text 미입력 시 UI 확인
text 미입력 시 동작 확인
Absence Error message text UI 확인
At 미입력 시 동작 확인
Domain 미입력 시 동작 확인
Invalid Error message text UI 확인
유효한 Email 입력 시 동작 확인
유효한 Email 입력 시 UI 확인",False,False,False,False,True,False,False,False,False
Basic Verification,KOCOWA ID Sign In,Function Area,"Forgot Password text Button 기능 확인
Sign In Button 선택 시 동작 확인
계정 정보 미입력 시 Sign In Button 기능 확인
비유효 Email 입력 시 Sign In Button 기능 확인
비유효 Passwrod 입력 시 Sign In Button 기능 확인
미가입 KOCOWA 계정 정보 입력 시 Sign In Button 기능 확인
Wrong Password 입력 시 Sign In Button 기능 확인
Social Account 입력 시 Sign In Button 기능 확인
유효한 계정 정보 입력 시 Sign In Button 기능 확인
Sign In 시 동작 확인
Sign Up text Button 기능 확인",False,False,False,False,True,False,False,False,False
Basic Verification,KOCOWA ID Sign In,Password Input Area,"input box 확인
text 선택 시 동작 확인
text 입력 시 동작 확인
Password 암호화 여부 확인
Backspace Button 선택 시 동작 확인
text 삭제 시 동작 확인
Show Password icon 확인
Show Password icon UI 확인
Show Password icon 기능 확인
Show Password icon 선택 시 동작 확인
Hide Password icon 확인
Hide Password icon UI 확인
Hide Password icon 기능 확인
Hide Password icon 선택 시 동작 확인
실시간 유효성 검사 동작 확인
text 미입력 시 UI 확인
text 미입력 시 동작 확인
Absence Error message text UI 확인
6자 미만 입력 시 동작 확인
20자 이상 입력 시 동작 확인
Minimum Error message text UI 확인
Maximum Error message text UI 확인
유효한 Password 입력 시 동작 확인
유효한 Password 입력 시 UI 확인",False,False,False,False,True,False,False,False,False
Basic Verification,KOCOWA ID Sign Up,Email Input Area,"input box 확인
text 선택 시 동작 확인
text 입력 시 동작 확인
Backspace Button 선택 시 동작 확인
text 삭제 시 동작 확인
실시간 유효성 검사 동작 확인
text 미입력 시 UI 확인
text 미입력 시 동작 확인
Absence Error message text UI 확인
At 미입력 시 동작 확인
Domain 미입력 시 동작 확인
Invalid Error message text UI 확인
유효한 Email 입력 시 동작 확인
유효한 Email 입력 시 UI 확인",False,False,False,False,True,False,False,False,False
Basic Verification,KOCOWA ID Sign Up,Function Area,"Next Button 선택 시 동작 확인
계정 정보 미입력 시 Next Button 기능 확인
Name 미입력 시 Next Button 기능 확인
비유효 Email 입력 시 Next Button 기능 확인
비유효 Passwrod 입력 시 Next Button 기능 확인
가입 KOCOWA 계정 Password 미일치 시 Next Button 기능 확인
Social Account 입력 시 Next Button 기능 확인
Next Button 기능 확인",False,False,False,False,True,False,False,False,False
